Curso,Codigo,Nota_Real,Nota_Simulada,Erro
Estudos Portugueses,1000-9917,138.0,138.0,0.0
Criminologia e Justiça Criminal,1000-L078,172.4,183.5,11.1
Proteção Civil e Gestão do Território,1000-L112,128.2,128.5,0.3
Estudos Orientais: Estudos Chineses e Japoneses,1000-L147,145.2,145.5,0.3
Ciência de Dados,1000-L188,150.4,150.5,0.1
Engenharia e Gestão de Sistemas de Informação,1000-L215,146.2,146.0,-0.2
Engenharia Eletrónica Industrial e Computadores,1000-L218,121.6,95.0,-26.6
Engenharia Aeroespacial,1000-L221,191.4,200.0,8.6
Engenharia de Polímeros,1000-L229,133.0,133.0,0.0
Ciências da Nutrição,1101-9554,148.0,150.8,2.8
Arquitetura,1102-9257,186.0,198.8,12.8
Arquitetura Paisagista,1103-8258,154.5,158.5,4.0
Biologia,1103-9011,150.5,152.5,2.0
Bioquímica,1103-9015,163.0,165.3,2.3
Engenharia Agronómica,1103-9086,116.5,120.2,3.7
Engenharia Física,1103-9113,145.8,149.0,3.2
Física,1103-9141,125.0,127.8,2.8
Geologia,1103-9146,131.5,134.8,3.3
Matemática,1103-9209,166.5,170.0,3.5
Química,1103-9223,127.3,130.8,3.5
Matemática Aplicada,1103-9385,162.5,95.0,-67.5
Bioinformática,1103-9687,165.0,168.8,3.8
Ciência de Computadores,1103-9696,163.5,166.8,3.3
Ciências e Tecnologia do Ambiente,1103-9709,139.5,142.5,3.0
Engenharia Geoespacial,1103-L096,113.3,95.0,-18.3
Inteligência Artificial e Ciência de Dados,1103-L227,187.5,200.0,12.5
Economia,1104-9081,178.3,179.8,1.5
Gestão,1104-9147,183.5,197.2,13.7
Engenharia Civil,1105-9089,143.8,146.2,2.4
Engenharia de Materiais,1105-9096,150.5,152.0,1.5
Engenharia do Ambiente,1105-9099,135.5,139.0,3.5
Engenharia e Gestão Industrial,1105-9104,186.3,194.8,8.5
Engenharia Mecânica,1105-9123,178.8,179.8,1.0
Engenharia Química,1105-9125,164.0,167.0,3.0
Bioengenharia,1105-9540,181.8,185.2,3.4
Engenharia Eletrotécnica e de Computadores,1105-L209,151.3,152.5,1.2
Engenharia Aeroespacial,1105-L221,194.5,200.0,5.5
Engenharia Informática e Computação,1105-L224,170.8,172.5,1.7
Engenharia de Minas e Geo-Ambiente,1105-L236,126.5,130.0,3.5
Ciências Farmacêuticas,1106-9494,153.5,154.2,0.7
Arqueologia,1107-9006,150.6,153.5,2.9
Ciências da Comunicação,1107-9023,173.0,189.0,16.0
Ciências da Linguagem,1107-9040,146.6,95.0,-51.6
Filosofia,1107-9139,150.8,154.2,3.4
Geografia,1107-9143,147.6,95.0,-52.6
História,1107-9181,166.8,169.5,2.7
História da Arte,1107-9182,155.4,95.0,-60.4
Línguas Aplicadas,1107-9192,174.4,95.0,-79.4
Línguas e Relações Internacionais,1107-9197,181.4,95.0,-86.4
"Línguas, Literaturas e Culturas",1107-9204,172.4,95.0,-77.4
Sociologia,1107-9240,158.6,95.0,-63.6
Ciência da Informação,1107-9694,144.0,147.5,3.5
Literatura e Estudos Interartes,1107-L251,155.0,95.0,-60.0
Medicina,1108-9813,184.8,187.7,2.9
Saúde Digital e Inovação Biomédica,1108-L307,179.0,179.3,0.3
Ciências da Educação,1109-9026,160.0,164.2,4.2
Psicologia,1109-9219,169.5,173.0,3.5
Ciências do Meio Aquático,1110-9708,148.0,151.2,3.2
Medicina,1110-9813,185.5,192.7,7.2
Medicina Veterinária,1110-9847,170.8,172.8,2.0
Ciências do Desporto,1111-9707,151.0,148.8,-2.2
Medicina Dentária,1113-9548,174.8,177.2,2.4
Criminologia,1114-9066,174.4,196.2,21.8
Direito,1114-9078,182.2,199.0,16.8
Medicina Veterinária,1201-9847,167.1,167.0,-0.1
Animação Sociocultural,1202-9005,96.0,99.2,3.2
Ciências da Comunicação,1202-9023,149.8,95.0,-54.8
Economia,1202-9081,139.9,95.0,-44.9
Gestão,1202-9147,161.7,161.5,-0.2
Línguas e Relações Empresariais,1202-9196,146.8,95.0,-51.8
"Línguas, Literaturas e Culturas",1202-9204,144.3,95.0,-49.3
Psicologia,1202-9219,164.2,95.0,-69.2
Serviço Social,1202-9238,143.4,143.5,0.1
Turismo,1202-9254,130.6,130.5,-0.1
Teatro e Artes Performativas,1202-9803,121.4,121.8,0.4
Educação Básica,1202-9853,143.5,143.2,-0.3
Cultura e Transformação Digital,1202-L312,125.8,95.0,-30.8
Comunicação e Multimédia,1203-9052,134.4,134.5,0.1
Engenharia Civil,1203-9089,111.9,112.0,0.1
Engenharia e Gestão Industrial,1203-9104,132.2,132.2,0.0
Engenharia Física,1203-9113,156.3,156.2,-0.1
Engenharia Informática,1203-9119,128.3,128.0,-0.3
Engenharia Mecânica,1203-9123,131.4,131.2,-0.2
Engenharia Biomédica,1203-9455,133.5,133.5,0.0
Matemática Aplicada e Ciência de Dados,1203-L193,117.0,117.0,0.0
Engenharia Eletrotécnica e de Computadores,1203-L209,127.7,127.5,-0.2
Design Sustentável,1203-L253,128.0,128.2,0.2
Biologia,1204-9011,132.0,132.0,0.0
Biologia e Geologia,1204-9012,120.8,120.8,0.0
Bioquímica,1204-9015,132.7,132.5,-0.2
Ciências Biomédicas,1204-9351,148.0,148.0,0.0
Ciências do Ambiente,1204-9379,114.5,114.5,0.0
Bioengenharia,1204-9540,129.7,129.8,0.1
Ciências da Nutrição,1204-9554,130.5,130.5,0.0
Ciências do Desporto,1204-9707,141.6,141.0,-0.6
Genética e Biotecnologia,1204-9761,130.6,130.5,-0.1
Design,1306-9069,140.3,140.5,0.2
Línguas e Relações Empresariais,1306-9196,142.9,143.0,0.1
Psicologia,1306-9219,155.7,156.5,0.8
"Comunicação, Cultura e Organizações",1306-9720,135.4,135.5,0.1
Artes Visuais,1306-9817,131.9,132.0,0.1
Estudos de Cultura,1306-L150,112.7,113.0,0.3
Bioquímica,1307-9015,117.3,117.2,-0.1
Engenharia Civil,1307-9089,120.8,120.8,0.0
Engenharia Eletrónica e Telecomunicações,1307-9107,147.2,147.2,0.0
Ciências da Educação,1308-9026,137.6,137.8,0.2
Economia,1308-9081,104.9,106.0,1.1
Gestão,1308-9147,147.0,146.8,-0.2
Educação Física e Desporto,1308-9736,144.5,145.0,0.5
Educação Básica,1308-9853,138.2,138.2,0.0
Ciclo Básico de Medicina,1309-8083,177.3,177.3,0.0
Biologia,1309-9011,115.2,115.0,-0.2
Enfermagem,1320-9500,145.5,145.5,0.0
Direção e Gestão Hoteleira,1321-9076,132.3,132.5,0.2
Design,1501-9069,177.0,178.0,1.0
Design de Moda,1501-9071,171.5,171.5,0.0
Arquitetura,1501-9257,171.5,171.5,0.0
Desenho,1502-8399,160.3,160.2,-0.1
Design de Comunicação,1502-9070,159.3,159.0,-0.3
Design de Equipamento,1502-9072,165.5,165.5,0.0
Escultura,1502-9754,146.8,146.5,-0.3
Pintura,1502-9790,160.0,159.8,-0.2
Arte Multimédia,1502-9904,147.3,147.2,-0.1
Ciências da Arte e do Património,1502-L010,146.5,146.0,-0.5
Biologia,1503-9011,157.5,157.0,-0.5
Bioquímica,1503-9015,154.5,154.2,-0.3
Engenharia Física,1503-9113,156.5,156.5,0.0
Engenharia Informática,1503-9119,159.3,159.0,-0.3
Física,1503-9141,150.5,150.2,-0.3
Geologia,1503-9146,129.5,129.5,0.0
Matemática,1503-9209,151.0,151.0,0.0
"Meteorologia, Oceanografia e Geofísica",1503-9212,115.0,115.0,0.0
Química,1503-9223,147.0,147.0,0.0
Química Tecnológica,1503-9226,117.8,117.5,-0.3
Estatística Aplicada,1503-9381,147.0,147.0,0.0
Matemática Aplicada,1503-9385,162.0,162.0,0.0
Tecnologias de Informação,1503-L079,147.0,95.0,-52.0
Engenharia Geoespacial,1503-L096,122.8,122.8,0.0
Engenharia Biomédica e Biofísica,1503-L204,159.0,159.0,0.0
Engenharia da Energia e Ambiente,1503-L214,123.8,123.8,0.0
Direito (regime pós-laboral),1504-8358,153.8,153.8,0.0
Direito,1504-9078,159.5,158.2,-1.3
Ciências Farmacêuticas,1505-9494,148.3,148.0,-0.3
Artes e Humanidades,1506-8413,136.0,136.0,0.0
Estudos Gerais,1506-8458,152.5,153.0,0.5
Arqueologia,1506-9006,140.0,140.0,0.0
Ciências da Linguagem,1506-9040,135.0,135.2,0.2
Estudos Africanos,1506-9131,124.5,125.0,0.5
Estudos Clássicos,1506-9133,122.5,122.5,0.0
Estudos Europeus,1506-9135,154.0,154.0,0.0
Filosofia,1506-9139,151.0,151.2,0.2
História,1506-9181,158.5,159.0,0.5
História da Arte,1506-9182,146.5,146.8,0.3
"Línguas, Literaturas e Culturas",1506-9204,127.0,127.0,0.0
Tradução,1506-9252,140.0,140.0,0.0
Estudos Asiáticos,1506-9914,146.0,146.0,0.0
Estudos Portugueses,1506-9917,131.5,131.8,0.3
Estudos Comparatistas,1506-L097,111.0,111.5,0.5
Estudos de Cultura e Comunicação Intercultural,1506-L288,150.5,150.5,0.0
Ciências da Nutrição,1507-9554,155.5,155.5,0.0
Medicina,1507-9813,177.7,177.7,0.0
Medicina Dentária,1508-9548,178.0,178.2,0.2
Higiene Oral,1508-9556,146.8,146.8,0.0
Prótese Dentária,1508-9791,143.5,143.5,0.0
Medicina Veterinária,1509-9847,163.0,162.2,-0.8
Dança,1510-9068,128.5,128.8,0.3
Gestão do Desporto,1510-9162,160.5,160.5,0.0
Ciências do Desporto,1510-9707,134.5,134.5,0.0
Reabilitação Psicomotora,1510-9841,133.5,133.2,-0.3
Psicologia,1511-9219,165.0,165.0,0.0
Educação e Formação,1513-L040,142.0,142.0,0.0
Planeamento e Gestão do Território,1514-8411,132.5,132.5,0.0
Geografia,1514-9143,129.0,128.5,-0.5
Arquitetura Paisagista,1515-8258,154.5,154.5,0.0
Engenharia Florestal e dos Recursos Naturais,1515-8377,123.3,123.2,-0.1
Biologia,1515-9011,142.8,142.8,0.0
Engenharia Agronómica,1515-9086,108.5,108.5,0.0
Engenharia Alimentar,1515-9087,110.0,110.0,0.0
Engenharia do Ambiente,1515-9099,115.3,115.0,-0.3
Engenharia Zootécnica,1515-9129,123.8,95.0,-28.8
Serviço Social (regime pós-laboral),1516-8014,136.0,136.0,0.0
Administração Pública (regime pós-laboral),1516-8102,135.5,135.5,0.0
Sociologia (regime pós-laboral),1516-8109,130.5,130.5,0.0
