Fase,Curso,Codigo,Nota_Real,Nota_Simulada,Erro
1,Ciências da Computação,1000-9397,145.2,140.0,-5.2
1,Engenharia Biomédica,1000-9455,172.0,172.5,0.5
1,Design e Marketing de Moda,1000-9499,164.6,167.5,2.9
1,Biologia Aplicada,1000-9688,157.8,155.5,-2.3
1,Negócios Internacionais,1000-9785,160.0,157.0,-3.0
1,Medicina,1000-9813,185.8,200.0,14.2
1,Artes Visuais,1000-9817,161.5,179.0,17.5
1,Educação Básica,1000-9853,150.2,151.2,1.0
1,Estudos Portugueses,1000-9917,143.8,145.5,1.7
1,Criminologia e Justiça Criminal,1000-L078,167.0,165.0,-2.0
1,Proteção Civil e Gestão do Território,1000-L112,122.2,123.5,1.3
1,Estudos Orientais: Estudos Chineses e Japoneses,1000-L147,148.8,142.5,-6.3
1,Ciência de Dados,1000-L188,142.0,139.5,-2.5
1,Engenharia e Gestão de Sistemas de Informação,1000-L215,141.6,137.2,-4.4
1,Engenharia Eletrónica Industrial e Computadores,1000-L218,120.8,95.0,-25.8
1,Engenharia Aeroespacial,1000-L221,186.2,200.0,13.8
1,Engenharia de Polímeros,1000-L229,134.4,130.0,-4.4
1,Ciências da Nutrição,1101-9554,159.3,155.0,-4.3
1,Arquitetura,1102-9257,185.5,199.8,14.3
1,Arquitetura Paisagista,1103-8258,146.5,147.5,1.0
1,Biologia,1103-9011,162.0,181.0,19.0
1,Bioquímica,1103-9015,174.0,166.0,-8.0
1,Engenharia Agronómica,1103-9086,116.3,114.8,-1.5
1,Engenharia Física,1103-9113,166.8,166.0,-0.8
1,Física,1103-9141,122.3,107.5,-14.8
1,Geologia,1103-9146,140.0,140.5,0.5
1,Matemática,1103-9209,161.0,157.0,-4.0
1,Química,1103-9223,121.3,121.5,0.2
1,Matemática Aplicada,1103-9385,156.0,95.0,-61.0
1,Ciência de Computadores,1103-9696,157.0,152.5,-4.5
1,Ciências e Tecnologia do Ambiente,1103-9709,141.0,141.5,0.5
1,Engenharia Geoespacial,1103-L096,126.0,124.8,-1.2
1,Inteligência Artificial e Ciência de Dados,1103-L227,173.8,197.0,23.2
1,Economia,1104-9081,174.0,163.5,-10.5
1,Gestão,1104-9147,180.5,173.5,-7.0
1,Engenharia Civil,1105-9089,133.0,127.5,-5.5
1,Engenharia de Materiais,1105-9096,150.3,149.0,-1.3
1,Engenharia do Ambiente,1105-9099,141.5,140.0,-1.5
1,Engenharia e Gestão Industrial,1105-9104,187.3,200.0,12.7
1,Engenharia Mecânica,1105-9123,178.8,200.0,21.2
1,Engenharia Química,1105-9125,170.8,173.5,2.7
1,Bioengenharia,1105-9540,186.5,200.0,13.5
1,Engenharia Eletrotécnica e de Computadores,1105-L209,142.0,137.5,-4.5
1,Engenharia Informática e Computação,1105-L224,173.8,175.5,1.7
1,Engenharia de Minas e Geo-Ambiente,1105-L236,118.5,117.5,-1.0
1,Ciências Farmacêuticas,1106-9494,155.0,145.5,-9.5
1,Arqueologia,1107-9006,146.4,142.8,-3.6
1,Ciências da Comunicação,1107-9023,171.6,200.0,28.4
1,Ciências da Linguagem,1107-9040,143.8,95.0,-48.8
1,Filosofia,1107-9139,147.0,145.0,-2.0
1,Geografia,1107-9143,145.0,95.0,-50.0
1,História,1107-9181,161.6,158.2,-3.4
1,História da Arte,1107-9182,152.0,158.2,6.2
1,Línguas Aplicadas,1107-9192,179.4,95.0,-84.4
1,Línguas e Relações Internacionais,1107-9197,183.2,95.0,-88.2
1,"Línguas, Literaturas e Culturas",1107-9204,174.0,95.0,-79.0
1,Sociologia,1107-9240,159.2,95.0,-64.2
1,Ciência da Informação,1107-9694,144.8,143.2,-1.6
1,Literatura e Estudos Interartes,1107-L251,142.4,95.0,-47.4
1,Medicina,1108-9813,187.2,199.5,12.3
1,Ciências da Educação,1109-9026,156.5,161.0,4.5
1,Psicologia,1109-9219,179.0,200.0,21.0
1,Ciências do Meio Aquático,1110-9708,154.5,152.5,-2.0
1,Medicina,1110-9813,189.0,200.0,11.0
1,Medicina Veterinária,1110-9847,175.5,195.5,20.0
1,Ciências do Desporto,1111-9707,155.0,155.2,0.2
1,Medicina Dentária,1113-9548,179.5,200.0,20.5
1,Criminologia,1114-9066,170.2,183.8,13.6
1,Direito,1114-9078,176.8,194.5,17.7
1,Engenharia Agronómica,1201-9086,118.3,118.0,-0.3
1,Engenharia Zootécnica,1201-9129,134.3,135.5,1.2
1,Enologia,1201-9752,121.0,120.5,-0.5
1,Medicina Veterinária,1201-9847,171.5,185.5,14.0
1,Engenharia e Biotecnologia Florestal,1201-L237,131.3,128.5,-2.8
1,Animação Sociocultural,1202-9005,122.6,121.0,-1.6
1,Ciências da Comunicação,1202-9023,146.9,95.0,-51.9
1,Economia,1202-9081,145.7,95.0,-50.7
1,Gestão,1202-9147,160.5,157.5,-3.0
1,Línguas e Relações Empresariais,1202-9196,152.6,95.0,-57.6
1,"Línguas, Literaturas e Culturas",1202-9204,144.9,95.0,-49.9
1,Psicologia,1202-9219,164.0,192.0,28.0
1,Serviço Social,1202-9238,143.9,140.0,-3.9
1,Turismo,1202-9254,132.4,130.0,-2.4
1,Teatro e Artes Performativas,1202-9803,123.1,124.0,0.9
1,Educação Básica,1202-9853,138.8,138.8,0.0
1,Comunicação e Multimédia,1203-9052,134.5,128.5,-6.0
1,Engenharia Civil,1203-9089,123.3,119.0,-4.3
1,Engenharia e Gestão Industrial,1203-9104,128.9,128.0,-0.9
1,Engenharia Física,1203-9113,137.7,135.0,-2.7
1,Engenharia Informática,1203-9119,134.6,135.0,0.4
1,Engenharia Mecânica,1203-9123,129.7,126.0,-3.7
1,Engenharia Biomédica,1203-9455,149.3,146.5,-2.8
1,Matemática Aplicada e Ciência de Dados,1203-L193,111.3,109.5,-1.8
1,Engenharia Eletrotécnica e de Computadores,1203-L209,122.5,118.0,-4.5
1,Design Sustentável,1203-L253,113.6,110.0,-3.6
1,Biologia,1204-9011,148.9,151.0,2.1
1,Biologia e Geologia,1204-9012,138.2,137.5,-0.7
1,Bioquímica,1204-9015,140.3,139.0,-1.3
1,Ciências do Ambiente,1204-9379,132.5,133.0,0.5
1,Bioengenharia,1204-9540,143.4,140.5,-2.9
1,Ciências da Nutrição,1204-9554,144.0,143.5,-0.5
1,Ciências do Desporto,1204-9707,140.8,139.5,-1.3
1,Genética e Biotecnologia,1204-9761,145.9,143.5,-2.4
1,Design,1306-9069,111.9,106.0,-5.9
1,Línguas e Relações Empresariais,1306-9196,138.1,133.5,-4.6
1,Psicologia,1306-9219,153.3,155.0,1.7
1,"Comunicação, Cultura e Organizações",1306-9720,118.9,114.0,-4.9
1,Artes Visuais,1306-9817,95.0,95.0,0.0
1,Estudos de Cultura,1306-L150,117.6,114.5,-3.1
1,Bioquímica,1307-9015,109.9,107.5,-2.4
1,Engenharia Civil,1307-9089,,123.0,
1,Engenharia Eletrónica e Telecomunicações,1307-9107,,150.0,
1,Engenharia Informática,1307-9119,122.0,123.0,1.0
1,Matemática,1307-9209,139.0,138.0,-1.0
1,Engenharia de Computadores,1307-L208,,101.5,
1,Ciências da Educação,1308-9026,124.7,124.0,-0.7
1,Economia,1308-9081,118.6,116.5,-2.1
1,Gestão,1308-9147,139.1,135.0,-4.1
1,Educação Física e Desporto,1308-9736,142.9,140.0,-2.9
1,Educação Básica,1308-9853,106.5,105.5,-1.0
1,Ciclo Básico de Medicina,1309-8083,181.8,184.5,2.7
1,Biologia,1309-9011,136.0,135.5,-0.5
1,Enfermagem,1320-9500,152.5,153.0,0.5
1,Direção e Gestão Hoteleira,1321-9076,119.6,115.0,-4.6
1,Design,1501-9069,173.0,192.5,19.5
1,Design de Moda,1501-9071,172.0,200.0,28.0
1,Arquitetura,1501-9257,167.5,191.0,23.5
1,Desenho,1502-8399,176.0,161.0,-15.0
1,Design de Comunicação,1502-9070,170.0,157.0,-13.0
1,Design de Equipamento,1502-9072,159.5,158.0,-1.5
1,Escultura,1502-9754,155.0,154.0,-1.0
1,Pintura,1502-9790,168.5,158.5,-10.0
1,Arte Multimédia,1502-9904,171.0,158.5,-12.5
1,Ciências da Arte e do Património,1502-L010,153.5,149.5,-4.0
1,Biologia,1503-9011,167.0,162.0,-5.0
1,Bioquímica,1503-9015,162.3,159.5,-2.8
1,Engenharia Física,1503-9113,165.3,164.5,-0.8
1,Engenharia Informática,1503-9119,162.5,159.5,-3.0
1,Física,1503-9141,170.0,167.5,-2.5
1,Geologia,1503-9146,144.0,143.5,-0.5
1,Matemática,1503-9209,157.0,155.5,-1.5
1,"Meteorologia, Oceanografia e Geofísica",1503-9212,126.5,124.5,-2.0
1,Química,1503-9223,144.8,141.0,-3.8
1,Química Tecnológica,1503-9226,138.3,137.0,-1.3
1,Estatística Aplicada,1503-9381,143.5,142.5,-1.0
1,Matemática Aplicada,1503-9385,160.0,158.5,-1.5
1,Tecnologias de Informação,1503-L079,149.0,145.0,-4.0
1,Engenharia Geoespacial,1503-L096,113.0,112.5,-0.5
1,Engenharia Biomédica e Biofísica,1503-L204,167.0,165.5,-1.5
1,Engenharia da Energia e Ambiente,1503-L214,131.5,128.0,-3.5
1,Direito (regime pós-laboral),1504-8358,153.8,153.0,-0.8
1,Direito,1504-9078,160.0,160.0,0.0
1,Ciências Farmacêuticas,1505-9494,158.3,160.5,2.2
1,"Estudos Artísticos, variante de Artes do Espetáculo",1506-8104,158.5,183.5,25.0
1,Artes e Humanidades,1506-8413,144.5,144.0,-0.5
1,Estudos Gerais,1506-8458,150.0,149.5,-0.5
1,Arqueologia,1506-9006,139.0,139.5,0.5
1,Ciências da Linguagem,1506-9040,140.5,141.5,1.0
1,Estudos Africanos,1506-9131,132.0,132.5,0.5
1,Estudos Clássicos,1506-9133,140.0,140.0,0.0
1,Estudos Europeus,1506-9135,154.0,153.5,-0.5
1,Filosofia,1506-9139,151.0,151.5,0.5
1,História,1506-9181,158.0,158.0,0.0
1,História da Arte,1506-9182,146.0,147.0,1.0
1,"Línguas, Literaturas e Culturas",1506-9204,154.0,157.0,3.0
1,Tradução,1506-9252,147.8,148.0,0.2
1,Estudos Asiáticos,1506-9914,150.0,147.0,-3.0
1,Estudos Portugueses,1506-9917,140.5,141.0,0.5
1,Estudos Comparatistas,1506-L097,142.0,142.5,0.5
1,Estudos de Cultura e Comunicação Intercultural,1506-L288,148.5,150.5,2.0
1,Ciências da Nutrição,1507-9554,167.5,189.0,21.5
1,Medicina,1507-9813,182.5,175.0,-7.5
1,Medicina Dentária,1508-9548,181.0,173.0,-8.0
1,Higiene Oral,1508-9556,150.5,152.0,1.5
1,Prótese Dentária,1508-9791,142.8,142.5,-0.3
1,Medicina Veterinária,1509-9847,169.5,184.5,15.0
1,Dança,1510-9068,126.5,128.0,1.5
1,Gestão do Desporto,1510-9162,158.0,156.0,-2.0
1,Ciências do Desporto,1510-9707,140.0,141.5,1.5
1,Reabilitação Psicomotora,1510-9841,145.5,146.5,1.0
1,Psicologia,1511-9219,163.3,187.5,24.2
1,Educação e Formação,1513-L040,138.0,138.0,0.0
1,Planeamento e Gestão do Território,1514-8411,140.5,140.5,0.0
